_id,month,street,direction,from_intersection,to_intersection,day_type,time_period,baseline_travel_time,average_travel_time
227,Dec '17,University,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),4.2,4.7
228,Dec '17,University,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),4.8,5.0
229,Dec '17,University,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),9.8,8.4
230,Dec '17,University,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),3.0,3.4
231,Dec '17,University,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),3.6,4.0
232,Dec '17,University,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),2.8,3.1
233,Dec '17,University,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),8.4,7.5
234,Dec '17,University,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),4.5,4.9
235,Dec '17,University,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.4,5.4
236,Dec '17,University,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),5.1,5.3
237,Dec '17,University,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),4.0,4.2
238,Dec '17,University,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),4.4,4.8
239,Dec '17,University,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),3.3,3.7
240,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,AM Peak (07:00-10:00),8.4,8.4
241,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,Evening (19:00-23:00),7.5,7.5
242,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,Midday (10:00-16:00),9.0,8.8
243,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,PM Peak (16:00-19:00),10.9,10.6
244,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekend,Afternoon (12:00-17:00),9.0,8.5
245,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekend,Evening (17:00-23:00),7.3,7.6
246,Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekend,Morning (08:00-12:00),7.5,7.1
247,Dec '17,Yonge,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.4,5.2
248,Dec '17,Yonge,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),7.3,6.3
249,Dec '17,Yonge,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),7.0,7.0
250,Dec '17,Yonge,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),9.8,9.7
251,Dec '17,Yonge,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),6.8,7.0
252,Dec '17,Yonge,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),6.2,6.8
253,Dec '17,Yonge,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.9,4.9
254,Dec '17,Yonge,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),6.9,5.6
255,Dec '17,Yonge,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),6.8,6.6
256,Dec '17,Yonge,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),8.3,7.6
257,Dec '17,Yonge,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),8.1,8.0
